Date,Open,High,Low,Close,Adj Close,Volume
2022-12-20,17.920000,18.110001,17.920000,18.030001,18.030001,2115000
2022-12-21,18.379999,18.705000,18.360001,18.520000,18.520000,2391500
2022-12-22,18.559999,18.600000,18.171000,18.389999,18.389999,1633200
2022-12-23,18.520000,18.665001,18.500000,18.620001,18.620001,1608000
2022-12-27,18.629999,18.740000,18.584999,18.639999,18.639999,1001400
2022-12-28,18.709999,18.770000,18.540001,18.540001,18.540001,1226200
2022-12-29,18.780001,18.830000,18.740000,18.799999,18.799999,1217500
2022-12-30,18.709999,18.799999,18.549999,18.670000,18.670000,1592400
2023-01-03,19.020000,19.174999,18.850000,18.959999,18.959999,2006000
2023-01-04,19.520000,19.709999,19.480000,19.690001,19.690001,2567800
2023-01-05,19.510000,19.570000,19.413000,19.559999,19.559999,1910000
2023-01-06,19.410000,19.930000,19.360001,19.889999,19.889999,2614200
2023-01-09,20.150000,20.267000,19.980000,19.990000,19.990000,2929800
2023-01-10,20.070000,20.250000,20.000000,20.240000,20.240000,1786900
2023-01-11,20.299999,20.440001,20.270000,20.420000,20.420000,1649200
2023-01-12,20.559999,20.690001,20.459999,20.650000,20.650000,1840200
2023-01-13,20.350000,20.790001,20.320000,20.780001,20.780001,1489700
2023-01-17,21.160000,21.275000,21.105000,21.209999,21.209999,2427400
2023-01-18,21.700001,21.709999,21.290001,21.299999,21.299999,3053300
2023-01-19,21.070000,21.135000,20.825001,21.020000,21.020000,3337800
2023-01-20,20.969999,21.190001,20.910000,21.170000,21.170000,3232600
2023-01-23,21.040001,21.270000,21.000000,21.250000,21.250000,2108400
2023-01-24,21.080000,21.330000,21.040001,21.230000,21.230000,1540900
2023-01-25,21.030001,21.379999,21.030001,21.360001,21.360001,2348000
2023-01-26,21.530001,21.680000,21.365000,21.680000,21.680000,1517300
2023-01-27,21.360001,21.520000,21.315001,21.440001,21.440001,1704300
2023-01-30,21.350000,21.500000,21.280001,21.280001,21.280001,1790600
2023-01-31,21.049999,21.459999,20.990000,21.459999,21.459999,3042600
2023-02-01,21.290001,21.799999,21.240000,21.700001,21.700001,3057000
2023-02-02,21.799999,21.850000,21.545000,21.690001,21.690001,2721800
2023-02-03,21.500000,21.840000,21.490000,21.700001,21.700001,2021400
2023-02-06,21.350000,21.440001,21.214001,21.410000,21.410000,1942800
2023-02-07,21.410000,21.737000,21.360001,21.690001,21.690001,1572300
2023-02-08,21.660000,21.750000,21.584999,21.629999,21.629999,1366500
2023-02-09,22.000000,22.010000,21.610001,21.680000,21.680000,1619100
2023-02-10,21.580000,21.620001,21.469999,21.580000,21.580000,1392800
2023-02-13,21.629999,21.879999,21.610001,21.870001,21.870001,1435600
2023-02-14,21.870001,22.215000,21.850000,22.100000,22.100000,2110000
2023-02-15,21.830000,22.070000,21.799999,22.070000,22.070000,1295300
2023-02-16,21.840000,22.160000,21.840000,21.930000,21.930000,1815200
2023-02-17,21.799999,21.965000,21.764999,21.940001,21.940001,1007800
2023-02-21,21.700001,21.884001,21.655001,21.709999,21.709999,1058800
2023-02-22,21.530001,21.610001,21.385000,21.459999,21.459999,1014200
2023-02-23,21.600000,21.700001,21.469999,21.629999,21.629999,952500
2023-02-24,21.320000,21.440001,21.280001,21.410000,21.410000,1063300
2023-02-27,21.770000,21.850000,21.653000,21.730000,21.730000,1069500
2023-02-28,21.920000,21.950001,21.764999,21.780001,21.780001,1533900
2023-03-01,21.709999,21.795000,21.559999,21.610001,21.610001,1757900
2023-03-02,21.280001,21.469999,21.225000,21.459999,21.459999,2898300
2023-03-03,21.750000,22.160000,21.660000,22.120001,22.120001,4655200
2023-03-06,22.200001,22.298000,22.118999,22.160000,22.160000,1719000
2023-03-07,22.000000,22.040001,21.469999,21.559999,21.559999,3464300
2023-03-08,21.490000,21.570000,21.299999,21.389999,21.389999,4103900
2023-03-09,21.370001,21.532000,20.870001,20.930000,20.930000,4715000
2023-03-10,20.920000,20.950001,20.160000,20.340000,20.340000,6549300
2023-03-13,19.490000,19.680000,19.285000,19.360001,19.360001,6403400
2023-03-14,19.969999,20.125000,19.754999,19.990000,19.990000,5447800
2023-03-15,18.150000,18.730000,17.990000,18.730000,18.730000,13524200
2023-03-16,18.370001,19.260000,18.219999,19.260000,19.260000,8110300
2023-03-17,18.400000,18.540001,18.129999,18.200001,18.200001,6333500
